College,Degree,Major Code,Major Name,Non-Resident Alien Male,Non-Resident Alien Female,Hispanic/Latino Male,Hispanic/Latino Female,American Indian or Alaska Native Male,American Indian or Alaska Native Female,Asian Male,Asian Female,Black or African American Male,Black or African American Female,Native Hawaiian/Other Pacific Islander Male,Native Hawaiian/Other Pacific Islander Female,White Male,White Female,Two or more races Male,Two or more races Female,Race and Ethnicity Unknown Male,Race and Ethnicity Unknown Female,Total
College of Agri Sci and Natl Resources,B1GE,GECM,Grassland Ecology & Management,,,,,,,,,,,,,1,,,,1,,2
College of Agri Sci and Natl Resources,B1GL,GRLS,Grazing Livestock Systems,,,,,,,,,,,,,1,2,,,,,3
College of Agri Sci and Natl Resources,B1HO,HORT,Horticulture,2,1,1,,,,,,,,,,12,11,,,1,1,29
College of Agri Sci and Natl Resources,B1HR,HRTA,HRTM-(Ecotourism/Parks &Recreation Options Only),,,,,,,,,,,,,,1,,,,,1
College of Agri Sci and Natl Resources,BAHR,HRTA,HRTM-(Ecotourism/Parks &Recreation Options Only),,,,,,,,,,,,,,5,,,,,5
College of Agri Sci and Natl Resources,B1IS,INSC,Insect Science,,,,,,,,,,,,,,5,,,1,,6
College of Agri Sci and Natl Resources,B1MS,MSYM,Mechanized Systems Management,1,,,,1,,,,,,,,37,,,,,,39
College of Agri Sci and Natl Resources,B1MB,MBIO,Microbiology,,,,,,,,,,,,,5,3,,,,1,9
College of Agri Sci and Natl Resources,B1NE,NREE,Natural Res & Environ Economic,,1,,,,,,,,,,,4,,,,,,5
College of Agri Sci and Natl Resources,B1PM,PGAM,PGA Golf Management,,,2,,1,,,,,,,,21,2,1,,1,,28
College of Agri Sci and Natl Resources,B1PB,PBIO,Plant Biology,,1,,,,,,,,,,,5,1,,,,,7
College of Agri Sci and Natl Resources,B1TL,TLMT,Turfgrass and Landscape Mngt,,,1,,,,,,,,,,9,2,,,,,12
College of Agri Sci and Natl Resources,B1VS,VBMS,Veterinary Science,,,,,,,,,,,,,5,9,,1,,,15
College of Agri Sci and Natl Resources,B1VT,VETH,Veterinary Technology,,,,,,,,,,,,,1,2,,,,,3
College of Agri Sci and Natl Resources,B1WS,WATR,Water Science,,1,1,,,,,,,,,,4,,,,1,,7
College of Agri Sci and Natl Resources,NDEG,EXPS,General - CASNR,,,,,,,,,,,,,1,,,1,,,2
College of Agri Sci and Natl Resources,NDEG,PVET,Pre-Veterinary Medicine,,,,,,,,,,,,,,2,,,,,2
College of Agri Sci and Natl Resources,,,Total,11,9,11,7,3,1,3,1,2,1,,,354,260,4,3,13,6,689
College of Architecture,BSD,ARCS,Architectural Studies,3,1,8,2,1,,1,,2,,,,32,10,,1,,1,62
College of Architecture,BSD,IDES,Interior Design,1,1,,1,,,,1,,,,1,2,23,,4,,1,35
College of Architecture,BLA,LAND,Landscape Architecture,,,,,,,,,,,,,4,2,,,,,6
College of Architecture,NDEG,PARC,Pre-Architecture,,,,,,,,,,,,,1,,,1,,,2
College of Architecture,NDEG,PINT,Pre-Interior Design,,,,1,,,,,,,,,,1,,,,,2
College of Architecture,NDEG,PDSG,Pre-Interior Design (Omaha),,,,,,,,,,,,,,1,,,,,1
College of Architecture,NDEG,PLAR,Pre-Landscape Architecture,,,,,,,,,,,,,1,,,,,,1
College of Architecture,,,Total,4,2,8,4,1,,1,1,2,,,1,40,37,,6,,2,109
College of Arts and Sciences,BA,AACTS,Actuarial Science,,,,,,,,,,,,,,1,,,,,1
College of Arts and Sciences,BS,AACTS,Actuarial Science,7,2,1,,,,1,,,,,,8,4,,,,,23
College of Arts and Sciences,BA,ANTH,Anthropology,,,,2,,,,,,,,,6,10,,1,,,19
College of Arts and Sciences,BS,ANTH,Anthropology,,,,,,,,,,,,,3,5,,,,,8
College of Arts and Sciences,BS,ABIOC,Biochemistry,,2,1,3,,,3,3,1,,,,28,12,2,1,,,56
College of Arts and Sciences,BS,BIOS,Biological Sciences,3,2,4,5,1,,,5,1,1,1,1,60,62,2,2,2,1,153
College of Arts and Sciences,BA,CHEM,Chemistry,,,,1,,,1,,,,,,6,5,,,,,13
College of Arts and Sciences,BS,CHEM,Chemistry,,1,,,,,1,,,,,,12,7,1,,1,,23
College of Arts and Sciences,BA,CLRS,Classics and Religious Studies,,,,,,,,,,,,,3,4,,,,,7
College of Arts and Sciences,BS,CLRS,Classics and Religious Studies,,,,,,,,,1,,,,,,,,,,1
College of Arts and Sciences,BA,COMM,Communication Studies,,,,1,,,,,2,1,,,17,28,,,,1,50
College of Arts and Sciences,BS,COMM,Communication Studies,,,,,,,,,,,,,,1,,,,,1
College of Arts and Sciences,BS,COMP,Computer Science,12,3,4,,,,6,1,1,,,,62,8,4,2,2,,105
College of Arts and Sciences,BA,AECON,Economics,,1,2,,,,,1,,,,,7,1,1,,,,13
College of Arts and Sciences,BS,AECON,Economics,1,,,,,,1,,,,,,1,,,,,,3
College of Arts and Sciences,BA,ENGL,English,,,,4,,,1,,,2,,,25,36,1,4,,2,75
College of Arts and Sciences,BS,ENGL,English,,,,,,,,,,,,,1,1,,,,,2
College of Arts and Sciences,BA,AENVR,Environmental Studies,,,,,,,,,,,,,,1,,,,1,2
College of Arts and Sciences,BS,AENVR,Environmental Studies,,,,,,,,,,,,,2,1,,,,,3
College of Arts and Sciences,BA,ETHN,Ethnic Studies,,1,1,,,,,,3,,,,,,,,,,5
College of Arts and Sciences,BA,FILM,Film Studies,,,,,,,,,,,,,1,1,,,1,,3
College of Arts and Sciences,BA,FREN,French,,,,,,,,,,,,,,2,,,,,2
College of Arts and Sciences,BA,GEOG,Geography,,,,1,,,,,,,,,3,,,,,,4
College of Arts and Sciences,BS,GEOG,Geography,,,,,,,,,,,,,5,2,,,,,7
College of Arts and Sciences,BA,GEOL,Geology,,,,,,,,,,,,,2,,,,1,,3
College of Arts and Sciences,BS,GEOL,Geology,,1,,,,,,,,1,,,7,4,,,,,13
College of Arts and Sciences,BA,GERM,German,,,,,,,,,,,,,3,2,,,,,5
College of Arts and Sciences,BS,GERM,German,,,,,,,,,,,,,1,,,,,,1
College of Arts and Sciences,BA,GLST,Global Studies,,2,2,1,,,,2,,,,,6,12,2,1,1,1,30
College of Arts and Sciences,BS,GLST,Global Studies,,1,1,,,,,,,,,,,1,,,,,3
College of Arts and Sciences,BA,GPSP,Great Plains Studies Program,,,,,,,,,,,,,1,,,,,,1
College of Arts and Sciences,BA,HIST,History,1,,,,,,,,,2,,,39,15,,1,,,58
College of Arts and Sciences,BS,HIST,History,,,,,,,,,,,,,4,,,,,,4
College of Arts and Sciences,BA,LAMS,Latin American Studies,,,,,,,,,,,,,1,,,,,,1
College of Arts and Sciences,BA,MATH,Mathematics,1,,1,1,,,,,,,,,4,1,1,,,,9
College of Arts and Sciences,BS,MATH,Mathematics,5,1,,,,,2,,,,,,21,5,1,1,1,,37
College of Arts and Sciences,BS,METR,Meteorology-Climatology,,,,,,,,,,,,,11,4,,,,,15
College of Arts and Sciences,BS,MBIO,Microbiology,1,1,,1,,,1,,,,,,6,3,,,1,,14
College of Arts and Sciences,BA,PHIL,Philosophy,,,,,,,,,,,,,4,3,,,,,7
College of Arts and Sciences,BS,PHIL,Philosophy,,,1,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BA,PHYS,Physics,,,,,,,,,,,,,1,1,,,,,2
College of Arts and Sciences,BS,PHYS,Physics,,,,1,,,,,,,,,17,3,2,,1,,24
College of Arts and Sciences,BS,PBIO,Plant Biology,,,,,,,,,,,,,1,,,,,,1
College of Arts and Sciences,BA,POLS,Political Science,2,,1,3,,1,2,,3,,,,33,17,1,3,2,1,69
College of Arts and Sciences,BS,POLS,Political Science,,,,,,,,,,,,,2,,,,,,2
College of Arts and Sciences,BA,PSYC,Psychology,2,4,3,9,,1,1,,1,5,,,43,130,3,4,1,2,209
College of Arts and Sciences,BS,PSYC,Psychology,,,,1,,,,3,,,,,11,10,,2,1,,28
College of Arts and Sciences,BA,RUSS,Russian,,,1,,,,,,,,,,,1,,,,,2
College of Arts and Sciences,BA,SOCI,Sociology,,,,2,1,,,1,8,3,,,11,6,1,,1,,34
College of Arts and Sciences,BS,SOCI,Sociology,,,,,,,,,,,,,,1,,1,,,2
College of Arts and Sciences,BA,SPAN,Spanish,,,2,4,,,,,,,,,12,16,,,1,,35
College of Arts and Sciences,BS,SPAN,Spanish,,,,,,,,,,,,,3,2,,,,,5
College of Arts and Sciences,BA,SLPA,Speech-Language Path & Audio,,,,1,,,,,,,,,1,1,,,,,3
College of Arts and Sciences,BA,WGST,Women's & Gender Studies,,,,,,1,,,,,,,,1,,,,,2
